Period,Zone,Total Employed,Total Unemployed,Total Labour Force,Total Working Age Population,Weighted Unemployment Rate (%),Weighted Labour Participation Rate (%),Simple Mean Unemployment Rate (%),Simple Mean LPR (%)
Lockdown,East,115699227.0,53949048.74302696,169648275.74302697,446394111.722165,31.80052877445435,38.004147296776125,33.613749999999996,37.00375
Lockdown,North,179947828.0,48194088.05099549,228141916.05099553,608845813.1364443,21.124609140313737,37.47121375044558,20.01,34.92133333333334
Lockdown,Northeast,23050065.0,3336919.9410776016,26386984.9410776,64312202.52805324,12.646082712856268,41.02951524567596,15.76125,45.573750000000004
Lockdown,South,120939519.0,39499728.43977137,160439247.43977138,450938892.0464491,24.619741783941922,35.578933258931514,30.049999999999997,35.9575
Lockdown,West,145888196.0,28315038.72769384,174203234.72769386,479851454.6952096,16.254025806096283,36.30357541342532,14.999,37.229
Post-Lockdown,East,410751859.0,45215139.0223468,455966998.02234674,1123778269.7443433,9.916318334102511,40.57446297890046,9.191500000000001,40.251999999999995
Post-Lockdown,North,524995755.0,67798661.61134538,592794416.6113453,1560141541.8184948,11.43712891206199,37.996194622212705,14.816000000000003,38.705
Post-Lockdown,Northeast,70529684.0,3597281.1965384483,74126965.19653846,161932091.42525375,4.852864523727233,45.77657494824288,7.7379999999999995,50.834500000000006
Post-Lockdown,South,443600957.0,25264731.24988167,468865688.2498816,1133763216.9001548,5.388479447960127,41.35481564941019,6.153333333333335,40.842333333333336
Post-Lockdown,West,490673210.0,25562075.781367257,516235285.78136724,1208301870.311765,4.9516328088028345,42.72403266645352,6.9812,42.21639999999999
Pre-Lockdown,East,257643590.0,24142516.225714784,281786106.2257148,666297326.3079776,8.567674449632472,42.29134578508978,8.658333333333333,41.940000000000005
Pre-Lockdown,North,327782963.0,44604461.33919931,372387424.3391993,923887102.7540638,11.977971978605302,40.30659408807959,15.10375,41.062083333333334
Pre-Lockdown,Northeast,43870261.0,3868195.318888844,47738456.31888884,94853099.22660941,8.102891499150342,50.328831327734456,13.526,59.681999999999995
Pre-Lockdown,South,277894884.0,13886237.708706304,291781121.7087063,673705221.8122317,4.759128221656966,43.309909477001,4.56,42.745000000000005
Pre-Lockdown,West,294614230.0,16743475.107644182,311357705.1076442,716130773.2867231,5.37756889679526,43.477772038569185,5.828666666666667,42.343333333333334
